Місяць,Дата,#wd,"День
тижня",Мінейні святі,Префікс 1,Префікс 2,Ап1,Ап2,Єв1,Єв2
Вересень,01.09,5,пт,"🕂 Начало Індикта, тобто Нового року. Пам'ять прп. Симеона Стовпника і матері його. Собор Пресвятої Богородиці, що в Міясинах.",Новоліттю:,Ряд.:,#ap282,#ap201,#lk013,#mr020
Вересень,02.09,6,сб,"Св. мч. Маманта. Прп. Йоана Посника, патр. Царгородського.",,,#ap130,,#mt093,
Вересень,03.09,7,нд,"Неділя 14-та по Зісланні Святого Духа. Св. свщмч. Антима, єп. Нікомидійського. Прп. Теоктиста, спосника великого Євтимія.",,,#ap170,,#mt089,
Вересень,04.09,1,пн,"Св. свщмч. Вавили, єп. Антіохійського. Св. прор. й боговидця Мойсея.",,,#ap202,,#mr021,
Вересень,05.09,2,вв,"🕃 Св. прор. Захарії, отця Йоана Предтечі.",,,#ap204,,#mr022,
Вересень,06.09,3,ср,"🕃 Спогад про чудо, яке було в Колосах, що в Хонах, від архистратига Михаїла.",,,#ap207,,#mr023,
Вересень,07.09,4,чт,🕃 Передсвяття Різдва Богородиці. Св. мчч. Созонта.,,,#ap208a,,#mr025,
Вересень,08.09,5,пт,🕀 РІЗДВО ПРЕСВЯТОЇ ВЛАДИЧИЦІ НАШОЇ БОГОРОДИЦІ І ПРИСНОДІВИ МАРІЇ.,,,#ap240,,#lk054,
Вересень,09.09,6,сб,Субота перед Воздвиженням. 🕃 Свв. і праведних богоотців Йоакима й Анни. Св. мчч. Северіяна.,Суботи:,,#ap126,,#mt039,
Вересень,10.09,7,нд,"Неділя 15-та по Зісланні Святого Духа, перед Воздвиженням. Свв. мчцц. Минодори, Митродори й Німфодори.",Перед Воздвиж.:,,#ap215,,#iv009,
Вересень,11.09,1,пн,Прп. Теодори Олександрійської.,,,#ap211,,#mr027,
Вересень,12.09,2,вв,Віддання свята Різдва Богородиці. Св. свщмч. Автонома.,,,#ap212,,#mr028,
Вересень,13.09,3,ср,Передсвяття Воздвиження чесного Хреста. 🕃 Пам'ять оновлення храму св. Воскресення Христа і Бога нашого. Св. свщмч. Корнилія сотника.,Ряд.:,Оновлення:,#ap214,#ap307,#mr029,#mt067a
Вересень,14.09,4,чт,🕀 ВСЕМІРНЕ ВОЗДВИЖЕННЯ ЧЕСНОГО І ЖИВОТВОРЯЩОГО ХРЕСТА ГОСПОДНЬОГО.,,,#ap125b,,#iv060,
Вересень,15.09,5,пт,🕃 Св. влкмч. Микити.,,,#ap217,,#mr032,
Вересень,16.09,6,сб,Субота по Воздвиженні. 🕃 Св. влкмчц. Євфимії всехвальної.,Суботи:,Ряд.:,#ap125c,#ap132,#iv030,#mt097
Вересень,17.09,7,нд,"Неділя 16-та по Зісланні Святого Духа, по Воздвиженні. Св. мчц. Софії і трьох її дочок, Віри, Надії й Любови.",По Воздвиженні:,Ряд.:,#ap203,#ap181,#mr037,#mt105
Вересень,18.09,1,пн,"Прп. Євменія, єп. Гортинського, чудотворця.",,,#ap219,,#mr048,
Вересень,19.09,2,вв,"Свв. мчч. Трофима, Савватія й Доримедонта.",,,#ap222,,#mr050,
Вересень,20.09,3,ср,"🕃 Свв. мчч. і ісп. – великого князя Михаїла і боярина його Теодора, чернігівських чудотворців. Св. влкмч. Євстратія і тих, що з ним.",,,#ap223,,#mr051,
Вересень,21.09,4,чт,"Віддання свята Воздвиження. Св. ап. Кодрата, що в Магнисії.",,,#ap225,,#mr052,
Вересень,22.09,5,пт,"Св. свщмч. Фоки, єп. Синопійського.",,,#ap226,,#mr053,
Вересень,23.09,6,сб,"🕃 Зачаття чесного славного пророка, Предтечі і Хрестителя Господнього Йоана.",Ряд.:,Предтечі:,#ap156,#ap210b,#mt104,#lk002
Вересень,24.09,7,нд,Неділя 17-та по Зісланні Святого Духа. 🕃 Св. первомчц. й рівноап. Теклі.,,,#ap182b,,#mt062,
Вересень,25.09,1,пн,Прп. Євфросинії.,,,#ap227,,#lk010,
Вересень,26.09,2,вв,🕁 Переставлення св. ап. і єв. Йоана Богослова.,Ряд.:,Ап.:,#ap230,#ap073a,#lk011,#iv061b
Вересень,27.09,3,ср,"Св. мч. Калістрата і дружини його. Прп. Ніла, основника й ігумена монастиря Криптоферратського.",,,#ap231,,#lk012,
Вересень,28.09,4,чт,"🕂 Прп. ісп. Харитона. Св. В'ячеслава, князя чеського. Собор прпп. отців Печерських, що спочивають у ближніх печерах прп. Антонія.",Ряд.:,Ісп.:,#ap232,#ap176,#lk013,#lk024
Вересень,29.09,5,пт,🕃 Прп. Киріяка самітника.,,,#ap234,,#lk014,
Вересень,30.09,6,сб,"🕃 Св. свщмч. Григорія, єпископа Вірменії.",,,#ap162,,#lk015,
Жовтень,01.10,7,нд,"Неділя 18-та по Зісланні Святого Духа. 🕀 Покров Пресвятої Богородиці. Св. ап. Ананії, одного з сімдесятьох. Прп. Романа Сладкопівця.",Ряд.:,Свята:,#ap188,#ap320,#lk017,#lk054
Жовтень,02.10,1,пн,"🕃 Св. свщмч. Кипріяна. Св. мчц. Юстини. Св. Андрея, Христа ради юродивого.",,,#ap235,,#lk016,
Жовтень,03.10,2,вв,🕃 Св. свщмч. Діонісія Ареопагіта.,,,#ap236,,#lk018,
Жовтень,04.10,3,ср,"Св. свщмч. Єротея, єп. Атенського. Прп. отця Франциска Асижського.",,,#ap237,,#lk021,
Жовтень,05.10,4,чт,Св. мчц. Харитини.,,,#ap238,,#lk023,
Жовтень,06.10,5,пт,🕂 Св. ап. Томи.,Ряд.:,Ап.:,#ap239,#ap131,#lk024,#iv065
Жовтень,07.10,6,сб,🕃 Свв. мчч. Сергія і Вакха.,,,#ap164,,#lk019,
Жовтень,08.10,7,нд,Неділя 19-та по Зісланні Святого Духа. Свв. Отців VII Вселенського Собору. Прп. Пелагії.,Ряд.:,Отців:,#ap194,#ap334,#lk026,#iv056
Жовтень,09.10,1,пн,🕂 Св. ап. Якова Алфеєвого.,Ряд.:,Ап.:,#ap241,#ap131,#lk025,#lk051b
Жовтень,10.10,2,вв,Свв. мчч. Євлампія і Євлампії.,,,#ap242,,#lk027,
Жовтень,11.10,3,ср,"Св. ап. Филипа, одного з семи дияконів. Прп. Теофана Начертанного, єп. Нікейського і творця канонів.",,,#ap243,,#lk028,
Жовтень,12.10,4,чт,"Свв. мчч. Прова, Тараха й Андроніка. Прп. Косми Святоградця, єп. Маюмського і творця канонів. Пам'ять св. Мартина Милостивого, єп. Туринського.",,,#ap244,,#lk031,
Жовтень,13.10,5,пт,"Свв. мчч. Карпа, Папили й Агатоніки мч.",,,#ap245,,#lk032,
Жовтень,14.10,6,сб,Свв. мчч. Назарія Гервасія Протасія й Келсія. 🕃 Прп. Параскеви Терновської.,,,#ap168,,#lk020,
Жовтень,15.10,7,нд,"Неділя 20-та по Зісланні Святого Духа. Прп. Євтимія Нового. Св. прпмч. Лукіяна, пресвітера Великої Антіохії.",,,#ap200,,#lk030,
Жовтень,16.10,1,пн,Св. мч. Лонгина сотника.,,,#ap248,,#lk033,
Жовтень,17.10,2,вв,Св. прор. Осії. Св. прпмч. Андрея Критського.,,,#ap249a,,#lk034,
Жовтень,18.10,3,ср,🕂 Св. ап. і єв. Луки.,Ряд.:,Ап.:,#ap251,#ap260b,#lk037,#lk051b
Жовтень,19.10,4,чт,Св. прор. Йоїла. Св. мч. Уара. Прп. Йоана Рильського.,,,#ap252,,#lk041,
Жовтень,20.10,5,пт,🕃 Св. влкмч. Артемія.,,,#ap253,,#lk042,
Жовтень,21.10,6,сб,🕃 Прп. Іларіона Великого.,,,#ap174,,#lk022,
Жовтень,22.10,7,нд,"Неділя 21-ша по Зісланні Святого Духа. Св. рівноап. Аверкія, єп. Єрапольського, чудотворця. Свв. сімох отроків, що в Ефесі.",,,#ap203,,#lk035,
Жовтень,23.10,1,пн,"🕃 Св. ап. Якова, по плоті брата Господнього.",,,#ap255,,#lk043,
Жовтень,24.10,2,вв,"Св. мч. Арети і тих, що з ним.",,,#ap256,,#lk044,
Жовтень,25.10,3,ср,Свв. мчч. і нотарів Маркіяна й Мартирія.,,,#ap259,,#lk047,
Жовтень,26.10,4,чт,🕁 Св. і славного влкмч. Димитрія Мироточця.,Влкмч.:,,#ap292,,#iv052,
Жовтень,27.10,5,пт,Св. мчч. Нестора. Свв. мчцц. Капетоліни і рабині її Єротиїди.,,,#ap261,,#lk050,
Жовтень,28.10,6,сб,"Свв. мчч. Терентія й Неоніли. Прп. Стефана Савваїта, творця канонів. 🕃 Св. мчц. Параскеви, що в Іконії, названої П'ятниця.",,,#ap178,,#lk029,
Жовтень,29.10,7,нд,"Неділя 22-га по Зісланні Святого Духа. Св. прпмчц. Анастасії Римлянки. Переставлення прп. Аврамія архимандрита, Ростовського чудотворця.",,,#ap215,,#lk083,
Жовтень,30.10,1,пн,"Св. мчч. Зиновія й Зиновії, сестри його.",,,#ap262,,#lk052,
Жовтень,31.10,2,вв,"Свв. апп. Стахія, Амплія і тих, що з ними. Св. мч. Єпімаха.",,,#ap263,,#lk055,
Листопад,01.11,3,ср,🕁 Бл. свщмч. єп. Теодора (Ромжі). 🕃 Свв. чудотворців і безсеребреників Косми й Дам'яна.,Ряд.:,Свщнмч:,#ap264,#ap334,#lk056,#lk067
Листопад,02.11,4,чт,"Свв. мчч. Акиндина, Пигасія, Афтонія, Єлпидифора й Анемподиста.",,,#ap265,,#lk057,
Листопад,03.11,5,пт,"Свв. мчч. Акепсими, єп., Йосифа, пресвітера, і Аїтала, диякона. Оновлення храму св. влкмч. Юрія, що в Лідді, де положене чесне тіло його.",,,#ap266,,#lk058,
Листопад,04.11,6,сб,"Прп. Йоаникія Великого, св. мч. Никандра, єп. Мирського. Єремея, пресвітера.",,,#ap185,,#lk036,
Листопад,05.11,7,нд,Неділя 23-тя по Зісланні Святого Духа. Свв. мчч. Галактіона і Єпістими.,,,#ap220a,,#lk038,
Листопад,06.11,1,пн,"🕃 Св. Павла, архиєп. Царгородського, ісп.",,,#ap267,,#lk059,
Листопад,07.11,2,вв,"Свв. тридцять трьох мчч., що в Мелітині. Прп. чудотворця Лазаря, що постив на Галисійській горі.",,,#ap268,,#lk060,
Листопад,08.11,3,ср,🕁 Собор святого архистратига Михаїла й інших безплотних сил.,Собору:,,#ap305,,#lk051b,
Листопад,09.11,4,чт,"Свв. мчч. Онисифора й Порфирія. Прп. Матрони. Прп. Теоктисти, що з Лезви.",,,#ap271,,#lk062,
Листопад,10.11,5,пт,"Свв. апп. Ераста, Олімпа, Родіона і тих, що з ними.",,,#ap272,,#lk063,
Листопад,11.11,6,сб,"Свв. мчч. Мини, Віктора й Вінкентія. Св. мчц. Стефаніди. прп. ісп. Теодора Студита.",,,#ap191,,#lk040,
Листопад,12.11,7,нд,"Неділя 24-та по Зісланні Святого Духа.</i>🕁 Св. свщмч. Йосафата, архиєп. Полоцького. Св. Йоана Милостивого, патр. Олександрійського. Прп. Ніла.",Ряд.:,Свщмч.:,#ap221,#ap311,#lk039,#iv036
Листопад,13.11,1,пн,"🕁 Св. Йоана Золотустого, архиєп. Царгородського.",Ряд.:,Св.:,#ap274a,#ap318,#lk065,#iv036
Листопад,14.11,2,вв,🕂 Св. і всехвального ап. Филипа.,Ряд.:,Ап.:,#ap274b,#ap131,#lk068,#iv005
Листопад,15.11,3,ср,"Свв. мчч. і ісп. Гурія, Самона й Авіва. Початок Різдвяного посту.</b>",,,#ap275,,#lk069,
Листопад,16.11,4,чт,🕂 Св. ап. і єв. Матея.,Ряд.:,Ап.:,#ap276,#ap131,#lk070,#mt030
Листопад,17.11,5,пт,"Св. Григорія, єп. Неокесарійського, чудотворця.",,,#ap277,,#lk073,
Листопад,18.11,6,сб,Свв. мчч. Платона й Романа.,,,#ap199,,#lk046,
Листопад,19.11,7,нд,Неділя 25-та по Зісланні Святого Духа. Св. прор. Авдія. Св. мч. Варлаама.,,,#ap224a,,#lk053,
Листопад,20.11,1,пн,Передсвяття Введення в храм Пресвятої Богородиці. 🕁 Бл. Прп. Йосафати (Гордашевської). Прп. Григорія Декаполіта.,Прп.:,,#ap215,,#lk083,
Листопад,21.11,2,вв,🕀 ВХІД У ХРАМ ПРЕСВЯТОЇ ВЛАДИЧИЦІ НАШОЇ БОГОРОДИЦІ І ПРИСНОДІВИ МАРІЇ.,Свята:,,#ap320,,#lk054,
Листопад,22.11,3,ср,"Св. ап. Филимона і тих, що з ним.",,,#ap281,,#lk078,
Листопад,23.11,4,чт,"Свв. Амфілохія, єп. Іконійського, і Григорія, єп. Акрагантійського.",,,#ap283,,#lk080,
Листопад,24.11,5,пт,🕃 Св. влкмч. Катерини. Св. влкмч. Меркурія.,,,#ap285a,,#lk082,
Листопад,25.11,6,сб,"Віддання свята Введення Богородиці. Свв. свщмчч. Климента, папи Римського, і Петра, єп. Олександрійського.",,,#ap205,,#lk049,
Листопад,26.11,7,нд,"Неділя 26-та по Зісланні Святого Духа. Прп. Аліпія Стовпника. Пам'ять посвячення храму св. влкмч. Юрія, що в Києві перед воротами св. Софії.",,,#ap229,,#lk066,
Листопад,27.11,1,пн,Св. влкмч. Якова Персянина. Прп. Палладія.,,,#ap285b,,#lk086,
Листопад,28.11,2,вв,🕃 Прпмч. Стефана Нового. Св. мч. Іринарха.,,,#ap286,,#lk087,
Листопад,29.11,3,ср,Св. мч. Парамона. Св. мч. Філумена.,,,#ap287,,#lk090,
Листопад,30.11,4,чт,🕂 Св. всехвального ап. Андрея Первозванного.,Ряд.:,Ап.:,#ap289,#ap131,#lk092,#iv004
Грудень,1.12,5,пт,Св. прор. Наума.,,,#ap290,,#lk095,
Грудень,2.12,6,сб,Св. прор. Аввакума.,,,#ap213,,#lk051a,
Грудень,3.12,7,нд,Неділя 27-ма по Зісланні Святого Духа. Св. прор. Софонії.,,,#ap233,,#lk071,
Грудень,4.12,1,пн,🕃 Св. влкмчц. Варвари. Прп. Йоана Дамаскина.,,,#ap294,,#lk097,
Грудень,5.12,2,вв,🕁 Прп. й богоносного Сави Освященного.,Ряд.:,Прп.:,#ap297,#ap335,#lk098,#mt043
Грудень,6.12,3,ср,"🕁 Св. Миколая, архиєп. Мир Ликійських, чудотворця.",Св.:,,#ap335,,#lk024,
Грудень,7.12,4,чт,"Св. Амвросія, єп. Медіоланського.",,,#ap300,,#lk100,
Грудень,8.12,5,пт,Прп. Патапія.,,,#ap301,,#lk101,
Грудень,9.12,6,сб,"🕁 Зачаття святої Анни, коли зачала Пресвяту Богородицю.",,,#ap210b,,#lk036,
Грудень,10.12,7,нд,"Неділя 28-ма по Зісланні Святого Духа. Свв. мчч. Мини, Єрмогена і Євграфа.",,,#ap250,,#lk085,
Грудень,11.12,1,пн,Прп. Даниїла Стовпника.,,,#ap308,,#lk102,
Грудень,12.12,2,вв,"🕃 Прп. Спиридона чудотворця, єп. Трімитійського.",,,#ap310,,#lk106,
Грудень,13.12,3,ср,"🕂 Свв. мчч. Євстратія, Авксентія, Євгенія, Мардарія й Ореста. Св. мчц. Лукії, діви.",Ряд.:,Мчч.:,#ap312,#ap233,#lk104,#lk106
Грудень,14.12,4,чт,"Свв. мчч. Тирса, Левкія, Филимона, Аполлонія, Аріяна й Каленика.",,,#ap315,,#lk107,
Грудень,15.12,5,пт,"Св. свщмч. Єлевтерія. Прп. Павла, що в Латрі. 🕃 Св. Стефана ісп., архиєп. Сурозького.",,,#ap317,,#lk108b,
Грудень,16.12,6,сб,Св. прор. Аггея.,,,#ap220b,,#lk072,
Грудень,17.12,7,нд,"Неділя 29-ма по Зісланні Святого Духа. Свв. Праотців.</i>🕃 Св. прор. Даниїла. Свв. трьох отроків, Ананії, Азарії й Мисаїла.",Праотців:,,#ap257,,#lk076,
Грудень,18.12,1,пн,"Св. мч. Севастіяна і тих, що з ним.",,,#ap319,,#mr033,
Грудень,19.12,2,вв,Св. мч. Боніфатія.,,,#ap321,,#mr034,
Грудень,20.12,3,ср,🕃 Передсвяття Різдва Господа Бога і Спаса нашого Ісуса Христа. Св. свщмч. Ігнатія Богоносця.,,,#ap323,,#mr036,
Грудень,21.12,4,чт,Св. мчц. Юліянії.,,,#ap326,,#mr039,
Грудень,22.12,5,пт,Св. влкмчц. Анастасії.,,,,,,
Грудень,23.12,6,сб,"Субота перед Різдвом. Свв. десятьох мчч., що в Криті.",Суботи:,,#ap205,,#lk072,
Грудень,24.12,7,нд,Неділя 30-та по Зісланні Святого Духа. Святих Отців. Навечір’я Різдва Христового. Св. прпмчц. Євгенії.,Св. Отців:,,#ap328,,#mt001,
Грудень,25.12,1,пн,🕀 РІЗДВО ГОСПОДА БОГА І СПАСА НАШОГО ІСУСА ХРИСТА.,Літургія св. Василія Великого:,,#ap209,,#mt003,
